vin	V(in)	V(out)
2.469999999999991e-002	2.470000e-002	1.800000e+000
2.479999999999991e-002	2.480000e-002	1.800000e+000
2.489999999999991e-002	2.490000e-002	1.800000e+000
2.499999999999990e-002	2.500000e-002	1.800000e+000
2.509999999999990e-002	2.510000e-002	1.800000e+000
2.519999999999990e-002	2.520000e-002	1.800000e+000
2.529999999999990e-002	2.530000e-002	1.800000e+000
2.539999999999990e-002	2.540000e-002	1.800000e+000
2.549999999999990e-002	2.550000e-002	1.800000e+000
2.559999999999990e-002	2.560000e-002	1.800000e+000
2.569999999999990e-002	2.570000e-002	1.800000e+000
2.579999999999990e-002	2.580000e-002	1.800000e+000
2.589999999999990e-002	2.590000e-002	1.800000e+000
2.599999999999990e-002	2.600000e-002	1.800000e+000
2.609999999999990e-002	2.610000e-002	1.800000e+000
2.619999999999990e-002	2.620000e-002	1.800000e+000
2.629999999999990e-002	2.630000e-002	1.800000e+000
2.639999999999990e-002	2.640000e-002	1.800000e+000
2.649999999999990e-002	2.650000e-002	1.800000e+000
2.659999999999990e-002	2.660000e-002	1.800000e+000
2.669999999999989e-002	2.670000e-002	1.800000e+000
2.679999999999989e-002	2.680000e-002	1.800000e+000
2.689999999999989e-002	2.690000e-002	1.800000e+000
2.699999999999989e-002	2.700000e-002	1.800000e+000
2.709999999999989e-002	2.710000e-002	1.800000e+000
2.719999999999989e-002	2.720000e-002	1.800000e+000
2.729999999999989e-002	2.730000e-002	1.800000e+000
2.739999999999989e-002	2.740000e-002	1.800000e+000
2.749999999999989e-002	2.750000e-002	1.800000e+000
2.759999999999989e-002	2.760000e-002	1.800000e+000
2.769999999999989e-002	2.770000e-002	1.800000e+000
2.779999999999989e-002	2.780000e-002	1.800000e+000
2.789999999999989e-002	2.790000e-002	1.800000e+000
2.799999999999989e-002	2.800000e-002	1.800000e+000
2.809999999999989e-002	2.810000e-002	1.800000e+000
2.819999999999989e-002	2.820000e-002	1.800000e+000
2.829999999999988e-002	2.830000e-002	1.800000e+000
2.839999999999988e-002	2.840000e-002	1.800000e+000
2.849999999999988e-002	2.850000e-002	1.800000e+000
2.859999999999988e-002	2.860000e-002	1.800000e+000
2.869999999999988e-002	2.870000e-002	1.800000e+000
2.879999999999988e-002	2.880000e-002	1.800000e+000
2.889999999999988e-002	2.890000e-002	1.800000e+000
2.899999999999988e-002	2.900000e-002	1.800000e+000
2.909999999999988e-002	2.910000e-002	1.800000e+000
2.919999999999988e-002	2.920000e-002	1.800000e+000
2.929999999999988e-002	2.930000e-002	1.800000e+000
2.939999999999988e-002	2.940000e-002	1.800000e+000
2.949999999999988e-002	2.950000e-002	1.800000e+000
2.959999999999988e-002	2.960000e-002	1.800000e+000
2.969999999999988e-002	2.970000e-002	1.800000e+000
2.979999999999988e-002	2.980000e-002	1.800000e+000
2.989999999999988e-002	2.990000e-002	1.800000e+000
2.999999999999987e-002	3.000000e-002	1.800000e+000
3.009999999999987e-002	3.010000e-002	1.800000e+000
3.019999999999987e-002	3.020000e-002	1.800000e+000
3.029999999999987e-002	3.030000e-002	1.800000e+000
3.039999999999987e-002	3.040000e-002	1.800000e+000
3.049999999999987e-002	3.050000e-002	1.800000e+000
3.059999999999987e-002	3.060000e-002	1.800000e+000
3.069999999999987e-002	3.070000e-002	1.800000e+000
3.079999999999987e-002	3.080000e-002	1.800000e+000
3.089999999999987e-002	3.090000e-002	1.800000e+000
3.099999999999987e-002	3.100000e-002	1.800000e+000
3.109999999999987e-002	3.110000e-002	1.800000e+000
3.119999999999987e-002	3.120000e-002	1.800000e+000
3.129999999999987e-002	3.130000e-002	1.800000e+000
3.139999999999987e-002	3.140000e-002	1.800000e+000
3.149999999999988e-002	3.150000e-002	1.800000e+000
3.159999999999988e-002	3.160000e-002	1.800000e+000
3.169999999999988e-002	3.170000e-002	1.800000e+000
3.179999999999988e-002	3.180000e-002	1.800000e+000
3.189999999999989e-002	3.190000e-002	1.800000e+000
3.199999999999989e-002	3.200000e-002	1.800000e+000
3.209999999999989e-002	3.210000e-002	1.800000e+000
3.219999999999990e-002	3.220000e-002	1.800000e+000
